date,Daily Deaths,Midline,Midline,Lower Limit,Lower Limit,Upper Limit,Upper Limit,Phase_Ch,Y_Max
"Mar 4, 2020",1,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 5, 2020",0,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 6, 2020",0,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 7, 2020",0,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 8, 2020",0,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 9, 2020",1,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 10, 2020",1,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 11, 2020",1,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 12, 2020",0,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 13, 2020",1,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 14, 2020",0,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 15, 2020",1,1.07692307692308,null,null,null,4.1901702068997,null,null,20
"Mar 16, 2020",8,null,3.32867744955162,null,1.26154117500274,null,8.78298210371883,8,20
"Mar 17, 2020",2,null,3.80488319501429,null,1.44201920712777,null,10.0394891109238,null,20
"Mar 18, 2020",2,null,4.34921567112255,null,1.64831670573169,null,11.4757539544206,null,20
"Mar 19, 2020",1,null,4.97142119335596,null,1.88412744363219,null,13.1174930683583,null,20
"Mar 20, 2020",3,null,5.68264040016432,null,2.15367363050061,null,14.9941019197387,null,20
"Mar 21, 2020",5,null,6.49560772696886,null,2.4617815118557,null,17.1391813365485,null,20
"Mar 22, 2020",15,null,7.42487941722257,null,2.81396778336644,null,19.5911391332075,null,30
"Mar 23, 2020",6,null,8.48709415308567,null,3.21653836771863,null,22.3938778054837,null,20
"Mar 24, 2020",11,null,9.70127097232852,null,3.67670132265289,null,25.5975806081078,null,22
"Mar 25, 2020",12,null,11.0891498056878,null,4.20269590180124,null,29.2596100898669,null,24
"Mar 26, 2020",10,null,12.6755807320234,null,4.80394007916656,null,33.4455351745184,null,20
"Mar 27, 2020",14,null,14.4889689209207,null,5.49119917868239,null,38.2303051774891,null,28
"Mar 28, 2020",20,null,16.5617832294689,null,6.27677862817837,null,43.6995917792185,null,40
"Mar 29, 2020",21,null,18.9311375596828,null,7.17474428902618,null,49.9513229832858,null,42
"Mar 30, 2020",22,null,21.639455385815,null,8.20117430648551,null,57.0974365249587,null,44
"Mar 31, 2020",31,null,24.7352293499749,null,9.37444699015009,null,65.2658841250823,null,62
"Apr 1, 2020",21,null,28.2738895266711,null,10.7155698790158,null,74.6029224756294,null,42
"Apr 2, 2020",24,null,32.3187959026227,null,12.2485558831062,null,85.2757319771887,null,48
"Apr 3, 2020",24,null,36.942372842268,null,14.0008532365014,null,97.4754101170884,null,48
"Apr 4, 2020",46,null,42.2274058516639,null,16.003836960112,null,111.420393084825,null,92
"Apr 5, 2020",58,null,48.2685238594345,null,18.2933706338778,null,127.360366889091,null,116
"Apr 6, 2020",51,null,55.1738935551257,null,20.9104485369663,null,145.58073800525,null,102
"Apr 7, 2020",51,null,63.067156122226,null,23.9019296535419,null,166.40774360056,null,102
"Apr 8, 2020",44,null,72.0896410432088,null,27.3213766865353,null,190.214292836125,null,88
"Apr 9, 2020",29,null,82.4028966149499,null,31.2300151020208,null,217.426643834532,null,58
"Apr 10, 2020",32,null,94.1915824835946,null,35.6978293759666,null,248.532035864816,null,64
"Apr 11, 2020",43,null,107.666775989938,null,40.8048160717401,null,284.087413399608,null,86
"Apr 12, 2020",91,null,123.069751525689,null,46.6424161848203,null,324.729398249401,null,182
"Apr 13, 2020",71,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,71,142
"Apr 14, 2020",45,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,90
"Apr 15, 2020",80,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,160
"Apr 16, 2020",61,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,122
"Apr 17, 2020",55,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,110
"Apr 18, 2020",107,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,214
"Apr 19, 2020",62,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,124
"Apr 20, 2020",68,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,136
"Apr 21, 2020",78,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,156
"Apr 22, 2020",82,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,164
"Apr 23, 2020",87,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,174
"Apr 24, 2020",49,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,98
"Apr 25, 2020",82,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,164
"Apr 26, 2020",50,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,100
"Apr 27, 2020",121,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,242
"Apr 28, 2020",71,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,142
"Apr 29, 2020",58,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,116
"Apr 30, 2020",68,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,136
"May 1, 2020",63,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,126
"May 2, 2020",74,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,148
"May 3, 2020",46,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,92
"May 4, 2020",89,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,178
"May 5, 2020",75,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,150
"May 6, 2020",69,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,138
"May 7, 2020",58,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,116
"May 8, 2020",62,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,124
"May 9, 2020",92,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,184
"May 10, 2020",76,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,152
"May 11, 2020",74,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,148
"May 12, 2020",69,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,138
"May 13, 2020",84,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,168
"May 14, 2020",17,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,34
"May 15, 2020",106,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,212
"May 16, 2020",69,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,138
"May 17, 2020",74,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,148
"May 18, 2020",46,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,92
"May 19, 2020",84,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,168
"May 20, 2020",69,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,138
"May 21, 2020",78,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,156
"May 22, 2020",46,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,92
"May 23, 2020",87,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,174
"May 24, 2020",46,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,92
"May 25, 2020",26,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,52
"May 26, 2020",43,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,86
"May 27, 2020",76,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,152
"May 28, 2020",57,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,114
"May 29, 2020",71,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,142
"May 30, 2020",78,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,156
"May 31, 2020",58,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,116
"Jun 1, 2020",65,70.3809523809524,null,28.3681611488747,null,174.614012944099,null,null,130
